[2020-12-09T19:15:39.886933+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-09T19:15:40.008469+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-09T19:15:40.133631+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-09T19:15:40.235822+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:15:40.321246+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-09T19:15:40.416246+08:00] log.DEBUG: SELECT `userlevelid` AS `lf`, `userlevelname` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `userlevels` [] []
[2020-12-09T19:17:08.142644+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:17:16.246951+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:18:02.984875+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:18:26.512998+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T19:18:26.574269+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:34:10.310490+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:34:10.381055+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:34:21.991452+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:34:22.067924+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:34:23.063991+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:34:23.134998+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:36:21.418554+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:36:21.497158+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:56:32.556635+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:56:32.635240+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:56:45.854459+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:56:45.936208+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:56:57.918124+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:56:58.000672+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:57:07.017135+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
