[2020-12-12T13:21:38.597134+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-12T13:21:38.772302+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-12T13:21:38.947726+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-12T13:21:39.059629+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-12T13:21:39.185273+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-12T13:21:39.349733+08:00] log.DEBUG: SELECT `userlevelid` AS `lf`, `userlevelname` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `userlevels` [] []
[2020-12-12T13:22:09.247787+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:22:46.467076+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:22:59.258965+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:24:41.494461+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:26:01.737726+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:26:11.081186+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:26:19.388719+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:27:20.594567+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:31:01.292960+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:31:11.818676+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
