[2020-12-13T07:39:58.745933+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T07:40:30.829060+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T07:59:56.531385+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:00:19.838636+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:00:28.553029+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:00:43.304229+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:00:46.842914+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:05:20.344138+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:06:43.693271+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:10:25.420980+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:10:31.372855+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:12:57.698844+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:13:01.877216+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:13:46.465009+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:14:36.444960+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:19:55.491567+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:21:51.750485+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T08:21:59.353658+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
